Wenzhou	m i²²
Guangzhou	m i n ²²
Nanning	m i n ²²
Xianggang	m i n ²²
Haikou	m i n ²³
Shantou	m i ŋ ³¹
Meixian	m i e n ⁵³
Taoyuan	m i e n ⁵⁵
Fuzhou	m ɛ i ŋ ²¹²
Haerbin	l i a n ²¹³
Beijing	l i a n ²¹⁴
Tianjin	l i a n ¹³
Guiyang	l i a n ⁴²
Yinchuan	l i a n ⁵³
Zhengzhou	l i a n ⁵³
Yinchuan	l i a n ⁵³⁻³⁵ m i a n ⁰
Wulumuqi	l i a n ⁵¹
Nanjing	l i e n ²¹²
Qingdao	l i ã⁵⁵
Nanchang	l i ɛ n ²¹³
Lanzhou	l i ɛ̃ n ⁴⁴²
Pingyao	l i ᴇ⁵³
